country	year	low	high	width	share	cumul	# sptinc992i
KR	2016	0.00000	0.90000	0.90000	0.56680	0.56680
KR	2016	0.90000	0.95000	0.05000	0.14050	0.70730
KR	2016	0.95000	0.99000	0.04000	0.17110	0.87840
KR	2016	0.99000	0.99500	0.00500	0.03400	0.91240
KR	2016	0.99500	0.99900	0.00400	0.04460	0.95700
KR	2016	0.99900	0.99950	0.00050	0.01120	0.96820
KR	2016	0.99950	0.99990	0.00040	0.01590	0.98410
KR	2016	0.99990	1.00000	0.00010	0.01590	1.00000
KR	2015	0.00000	0.90000	0.90000	0.56870	0.56870
KR	2015	0.90000	0.95000	0.05000	0.13950	0.70820
KR	2015	0.95000	0.99000	0.04000	0.17100	0.87920
KR	2015	0.99000	0.99500	0.00500	0.03380	0.91300
KR	2015	0.99500	0.99900	0.00400	0.04390	0.95690
KR	2015	0.99900	0.99950	0.00050	0.01100	0.96790
KR	2015	0.99950	0.99990	0.00040	0.01560	0.98350
KR	2015	0.99990	1.00000	0.00010	0.01650	1.00000
KR	2014	0.00000	0.90000	0.90000	0.57310	0.57310
KR	2014	0.90000	0.95000	0.05000	0.13860	0.71170
KR	2014	0.95000	0.99000	0.04000	0.17050	0.88220
KR	2014	0.99000	0.99500	0.00500	0.03350	0.91570
KR	2014	0.99500	0.99900	0.00400	0.04300	0.95870
KR	2014	0.99900	0.99950	0.00050	0.01070	0.96940
KR	2014	0.99950	0.99990	0.00040	0.01520	0.98460
KR	2014	0.99990	1.00000	0.00010	0.01540	1.00000
KR	2013	0.00000	0.90000	0.90000	0.57450	0.57450
KR	2013	0.90000	0.95000	0.05000	0.13900	0.71350
KR	2013	0.95000	0.99000	0.04000	0.17020	0.88370
KR	2013	0.99000	0.99500	0.00500	0.03330	0.91700
KR	2013	0.99500	0.99900	0.00400	0.04220	0.95920
KR	2013	0.99900	0.99950	0.00050	0.01040	0.96960
KR	2013	0.99950	0.99990	0.00040	0.01500	0.98460
KR	2013	0.99990	1.00000	0.00010	0.01540	1.00000
KR	2012	0.00000	0.90000	0.90000	0.57260	0.57260
KR	2012	0.90000	0.95000	0.05000	0.13890	0.71150
KR	2012	0.95000	0.99000	0.04000	0.17110	0.88260
KR	2012	0.99000	0.99500	0.00500	0.03350	0.91610
KR	2012	0.99500	0.99900	0.00400	0.04210	0.95820
KR	2012	0.99900	0.99950	0.00050	0.01050	0.96870
KR	2012	0.99950	0.99990	0.00040	0.01530	0.98400
KR	2012	0.99990	1.00000	0.00010	0.01600	1.00000
KR	2011	0.00000	0.90000	0.90000	0.56870	0.56870
KR	2011	0.90000	0.95000	0.05000	0.13880	0.70750
KR	2011	0.95000	0.99000	0.04000	0.17230	0.87980
KR	2011	0.99000	0.99500	0.00500	0.03400	0.91380
KR	2011	0.99500	0.99900	0.00400	0.04280	0.95660
KR	2011	0.99900	0.99950	0.00050	0.01080	0.96740
KR	2011	0.99950	0.99990	0.00040	0.01600	0.98340
KR	2011	0.99990	1.00000	0.00010	0.01660	1.00000
KR	2010	0.00000	0.90000	0.90000	0.56970	0.56970
KR	2010	0.90000	0.95000	0.05000	0.13960	0.70930
KR	2010	0.95000	0.99000	0.04000	0.17330	0.88260
KR	2010	0.99000	0.99500	0.00500	0.03390	0.91650
KR	2010	0.99500	0.99900	0.00400	0.04180	0.95830
KR	2010	0.99900	0.99950	0.00050	0.01020	0.96850
KR	2010	0.99950	0.99990	0.00040	0.01490	0.98340
KR	2010	0.99990	1.00000	0.00010	0.01660	1.00000
KR	2009	0.00000	0.90000	0.90000	0.57530	0.57530
KR	2009	0.90000	0.95000	0.05000	0.13950	0.71480
KR	2009	0.95000	0.99000	0.04000	0.17210	0.88690
KR	2009	0.99000	0.99500	0.00500	0.03300	0.91990
KR	2009	0.99500	0.99900	0.00400	0.04050	0.96040
KR	2009	0.99900	0.99950	0.00050	0.00970	0.97010
KR	2009	0.99950	0.99990	0.00040	0.01420	0.98430
KR	2009	0.99990	1.00000	0.00010	0.01570	1.00000
KR	2008	0.00000	0.90000	0.90000	0.57130	0.57130
KR	2008	0.90000	0.95000	0.05000	0.14080	0.71210
KR	2008	0.95000	0.99000	0.04000	0.17410	0.88620
KR	2008	0.99000	0.99500	0.00500	0.03340	0.91960
KR	2008	0.99500	0.99900	0.00400	0.04040	0.96000
KR	2008	0.99900	0.99950	0.00050	0.00970	0.96970
KR	2008	0.99950	0.99990	0.00040	0.01450	0.98420
KR	2008	0.99990	1.00000	0.00010	0.01580	1.00000
KR	2007	0.00000	0.90000	0.90000	0.57650	0.57650
KR	2007	0.90000	0.95000	0.05000	0.13890	0.71540
KR	2007	0.95000	0.99000	0.04000	0.17170	0.88710
KR	2007	0.99000	0.99500	0.00500	0.03310	0.92020
KR	2007	0.99500	0.99900	0.00400	0.03990	0.96010
KR	2007	0.99900	0.99950	0.00050	0.00950	0.96960
KR	2007	0.99950	0.99990	0.00040	0.01440	0.98400
KR	2007	0.99990	1.00000	0.00010	0.01600	1.00000
KR	2006	0.00000	0.90000	0.90000	0.58170	0.58170
KR	2006	0.90000	0.95000	0.05000	0.13760	0.71930
KR	2006	0.95000	0.99000	0.04000	0.17430	0.89360
KR	2006	0.99000	0.99500	0.00500	0.03260	0.92620
KR	2006	0.99500	0.99900	0.00400	0.03790	0.96410
KR	2006	0.99900	0.99950	0.00050	0.00880	0.97290
KR	2006	0.99950	0.99990	0.00040	0.01290	0.98580
KR	2006	0.99990	1.00000	0.00010	0.01420	1.00000
KR	2005	0.00000	0.90000	0.90000	0.62900	0.62900
KR	2005	0.90000	0.95000	0.05000	0.11980	0.74880
KR	2005	0.95000	0.99000	0.04000	0.15520	0.90400
KR	2005	0.99000	0.99500	0.00500	0.02910	0.93310
KR	2005	0.99500	0.99900	0.00400	0.03430	0.96740
KR	2005	0.99900	0.99950	0.00050	0.00810	0.97550
KR	2005	0.99950	0.99990	0.00040	0.01160	0.98710
KR	2005	0.99990	1.00000	0.00010	0.01290	1.00000
KR	2004	0.00000	0.90000	0.90000	0.61440	0.61440
KR	2004	0.90000	0.95000	0.05000	0.13130	0.74570
KR	2004	0.95000	0.99000	0.04000	0.15900	0.90470
KR	2004	0.99000	0.99500	0.00500	0.03010	0.93480
KR	2004	0.99500	0.99900	0.00400	0.03460	0.96940
KR	2004	0.99900	0.99950	0.00050	0.00750	0.97690
KR	2004	0.99950	0.99990	0.00040	0.01090	0.98780
KR	2004	0.99990	1.00000	0.00010	0.01220	1.00000
KR	2003	0.00000	0.90000	0.90000	0.61610	0.61610
KR	2003	0.90000	0.95000	0.05000	0.13750	0.75360
KR	2003	0.95000	0.99000	0.04000	0.15500	0.90860
KR	2003	0.99000	0.99500	0.00500	0.02880	0.93740
KR	2003	0.99500	0.99900	0.00400	0.03450	0.97190
KR	2003	0.99900	0.99950	0.00050	0.00710	0.97900
KR	2003	0.99950	0.99990	0.00040	0.01010	0.98910
KR	2003	0.99990	1.00000	0.00010	0.01090	1.00000
KR	2002	0.00000	0.90000	0.90000	0.62250	0.62250
KR	2002	0.90000	0.95000	0.05000	0.13610	0.75860
KR	2002	0.95000	0.99000	0.04000	0.15060	0.90920
KR	2002	0.99000	0.99500	0.00500	0.02910	0.93830
KR	2002	0.99500	0.99900	0.00400	0.03430	0.97260
KR	2002	0.99900	0.99950	0.00050	0.00710	0.97970
KR	2002	0.99950	0.99990	0.00040	0.00980	0.98950
KR	2002	0.99990	1.00000	0.00010	0.01050	1.00000
KR	2001	0.00000	0.90000	0.90000	0.63200	0.63200
KR	2001	0.90000	0.95000	0.05000	0.13730	0.76930
KR	2001	0.95000	0.99000	0.04000	0.14430	0.91360
KR	2001	0.99000	0.99500	0.00500	0.02860	0.94220
KR	2001	0.99500	0.99900	0.00400	0.03220	0.97440
KR	2001	0.99900	0.99950	0.00050	0.00700	0.98140
KR	2001	0.99950	0.99990	0.00040	0.00910	0.99050
KR	2001	0.99990	1.00000	0.00010	0.00950	1.00000
KR	2000	0.00000	0.90000	0.90000	0.64040	0.64040
KR	2000	0.90000	0.95000	0.05000	0.13860	0.77900
KR	2000	0.95000	0.99000	0.04000	0.13810	0.91710
KR	2000	0.99000	0.99500	0.00500	0.02840	0.94550
KR	2000	0.99500	0.99900	0.00400	0.03110	0.97660
KR	2000	0.99900	0.99950	0.00050	0.00680	0.98340
KR	2000	0.99950	0.99990	0.00040	0.00830	0.99170
KR	2000	0.99990	1.00000	0.00010	0.00830	1.00000
KR	1999	0.00000	0.90000	0.90000	0.64850	0.64850
KR	1999	0.90000	0.95000	0.05000	0.14070	0.78920
KR	1999	0.95000	0.99000	0.04000	0.13250	0.92170
KR	1999	0.99000	0.99500	0.00500	0.02690	0.94860
KR	1999	0.99500	0.99900	0.00400	0.03000	0.97860
KR	1999	0.99900	0.99950	0.00050	0.00640	0.98500
KR	1999	0.99950	0.99990	0.00040	0.00770	0.99270
KR	1999	0.99990	1.00000	0.00010	0.00730	1.00000
KR	1998	0.00000	0.90000	0.90000	0.66180	0.66180
KR	1998	0.90000	0.95000	0.05000	0.13710	0.79890
KR	1998	0.95000	0.99000	0.04000	0.13030	0.92920
KR	1998	0.99000	0.99500	0.00500	0.02520	0.95440
KR	1998	0.99500	0.99900	0.00400	0.02740	0.98180
KR	1998	0.99900	0.99950	0.00050	0.00560	0.98740
KR	1998	0.99950	0.99990	0.00040	0.00690	0.99430
KR	1998	0.99990	1.00000	0.00010	0.00570	1.00000
KR	1997	0.00000	0.90000	0.90000	0.64320	0.64320
KR	1997	0.90000	0.95000	0.05000	0.13990	0.78310
KR	1997	0.95000	0.99000	0.04000	0.13660	0.91970
KR	1997	0.99000	0.99500	0.00500	0.02830	0.94800
KR	1997	0.99500	0.99900	0.00400	0.02990	0.97790
KR	1997	0.99900	0.99950	0.00050	0.00660	0.98450
KR	1997	0.99950	0.99990	0.00040	0.00800	0.99250
KR	1997	0.99990	1.00000	0.00010	0.00750	1.00000
KR	1996	0.00000	0.90000	0.90000	0.64970	0.64970
KR	1996	0.90000	0.95000	0.05000	0.13810	0.78780
KR	1996	0.95000	0.99000	0.04000	0.13410	0.92190
KR	1996	0.99000	0.99500	0.00500	0.02710	0.94900
KR	1996	0.99500	0.99900	0.00400	0.02950	0.97850
KR	1996	0.99900	0.99950	0.00050	0.00630	0.98480
KR	1996	0.99950	0.99990	0.00040	0.00780	0.99260
KR	1996	0.99990	1.00000	0.00010	0.00740	1.00000
KR	1995	0.00000	0.90000	0.90000	0.68170	0.68170
KR	1995	0.90000	0.95000	0.05000	0.11270	0.79440
KR	1995	0.95000	0.99000	0.04000	0.13320	0.92760
KR	1995	0.99000	0.99500	0.00500	0.02500	0.95260
KR	1995	0.99500	0.99900	0.00400	0.02750	0.98010
KR	1995	0.99900	0.99950	0.00050	0.00580	0.98590
KR	1995	0.99950	0.99990	0.00040	0.00750	0.99340
KR	1995	0.99990	1.00000	0.00010	0.00660	1.00000
KR	1985	0.00000	0.90000	0.90000	0.70760	0.70760
KR	1985	0.90000	0.95000	0.05000	0.09840	0.80600
KR	1985	0.95000	0.99000	0.04000	0.12250	0.92850
KR	1985	0.99000	0.99500	0.00500	0.02450	0.95300
KR	1985	0.99500	0.99900	0.00400	0.02850	0.98150
KR	1985	0.99900	0.99950	0.00050	0.00580	0.98730
KR	1985	0.99950	0.99990	0.00040	0.00700	0.99430
KR	1985	0.99990	1.00000	0.00010	0.00570	1.00000
KR	1984	0.00000	0.90000	0.90000	0.70110	0.70110
KR	1984	0.90000	0.95000	0.05000	0.10130	0.80240
KR	1984	0.95000	0.99000	0.04000	0.12400	0.92640
KR	1984	0.99000	0.99500	0.00500	0.02520	0.95160
KR	1984	0.99500	0.99900	0.00400	0.02980	0.98140
KR	1984	0.99900	0.99950	0.00050	0.00590	0.98730
KR	1984	0.99950	0.99990	0.00040	0.00700	0.99430
KR	1984	0.99990	1.00000	0.00010	0.00570	1.00000
KR	1983	0.00000	0.90000	0.90000	0.69800	0.69800
KR	1983	0.90000	0.95000	0.05000	0.09760	0.79560
KR	1983	0.95000	0.99000	0.04000	0.12970	0.92530
KR	1983	0.99000	0.99500	0.00500	0.02600	0.95130
KR	1983	0.99500	0.99900	0.00400	0.03030	0.98160
KR	1983	0.99900	0.99950	0.00050	0.00610	0.98770
KR	1983	0.99950	0.99990	0.00040	0.00730	0.99500
KR	1983	0.99990	1.00000	0.00010	0.00500	1.00000
KR	1982	0.00000	0.90000	0.90000	0.70120	0.70120
KR	1982	0.90000	0.95000	0.05000	0.09830	0.79950
KR	1982	0.95000	0.99000	0.04000	0.12780	0.92730
KR	1982	0.99000	0.99500	0.00500	0.02530	0.95260
KR	1982	0.99500	0.99900	0.00400	0.02950	0.98210
KR	1982	0.99900	0.99950	0.00050	0.00580	0.98790
KR	1982	0.99950	0.99990	0.00040	0.00690	0.99480
KR	1982	0.99990	1.00000	0.00010	0.00520	1.00000
KR	1981	0.00000	0.90000	0.90000	0.70690	0.70690
KR	1981	0.90000	0.95000	0.05000	0.10060	0.80750
KR	1981	0.95000	0.99000	0.04000	0.12100	0.92850
KR	1981	0.99000	0.99500	0.00500	0.02450	0.95300
KR	1981	0.99500	0.99900	0.00400	0.02820	0.98120
KR	1981	0.99900	0.99950	0.00050	0.00590	0.98710
KR	1981	0.99950	0.99990	0.00040	0.00700	0.99410
KR	1981	0.99990	1.00000	0.00010	0.00590	1.00000
KR	1980	0.00000	0.90000	0.90000	0.70820	0.70820
KR	1980	0.90000	0.95000	0.05000	0.09450	0.80270
KR	1980	0.95000	0.99000	0.04000	0.12290	0.92560
KR	1980	0.99000	0.99500	0.00500	0.02520	0.95080
KR	1980	0.99500	0.99900	0.00400	0.02930	0.98010
KR	1980	0.99900	0.99950	0.00050	0.00570	0.98580
KR	1980	0.99950	0.99990	0.00040	0.00690	0.99270
KR	1980	0.99990	1.00000	0.00010	0.00730	1.00000
KR	1979	0.00000	0.90000	0.90000	0.71920	0.71920
KR	1979	0.90000	0.95000	0.05000	0.09470	0.81390
KR	1979	0.95000	0.99000	0.04000	0.11460	0.92850
KR	1979	0.99000	0.99500	0.00500	0.02380	0.95230
KR	1979	0.99500	0.99900	0.00400	0.02730	0.97960
KR	1979	0.99900	0.99950	0.00050	0.00570	0.98530
KR	1979	0.99950	0.99990	0.00040	0.00690	0.99220
KR	1979	0.99990	1.00000	0.00010	0.00780	1.00000
KR	1978	0.00000	0.90000	0.90000	0.71180	0.71180
KR	1978	0.90000	0.95000	0.05000	0.10370	0.81550
KR	1978	0.95000	0.99000	0.04000	0.11040	0.92590
KR	1978	0.99000	0.99500	0.00500	0.02370	0.94960
KR	1978	0.99500	0.99900	0.00400	0.02850	0.97810
KR	1978	0.99900	0.99950	0.00050	0.00600	0.98410
KR	1978	0.99950	0.99990	0.00040	0.00750	0.99160
KR	1978	0.99990	1.00000	0.00010	0.00840	1.00000
KR	1977	0.00000	0.90000	0.90000	0.74020	0.74020
KR	1977	0.90000	0.95000	0.05000	0.09400	0.83420
KR	1977	0.95000	0.99000	0.04000	0.09400	0.92820
KR	1977	0.99000	0.99500	0.00500	0.02180	0.95000
KR	1977	0.99500	0.99900	0.00400	0.02680	0.97680
KR	1977	0.99900	0.99950	0.00050	0.00610	0.98290
KR	1977	0.99950	0.99990	0.00040	0.00790	0.99080
KR	1977	0.99990	1.00000	0.00010	0.00920	1.00000
KR	1976	0.00000	0.90000	0.90000	0.74320	0.74320
KR	1976	0.90000	0.95000	0.05000	0.09510	0.83830
KR	1976	0.95000	0.99000	0.04000	0.09100	0.92930
KR	1976	0.99000	0.99500	0.00500	0.02130	0.95060
KR	1976	0.99500	0.99900	0.00400	0.02710	0.97770
KR	1976	0.99900	0.99950	0.00050	0.00580	0.98350
KR	1976	0.99950	0.99990	0.00040	0.00770	0.99120
KR	1976	0.99990	1.00000	0.00010	0.00880	1.00000
